,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_approved,Credit_Score
55,LP001194,1,1,2,1,1,216640,93360.0,7760.0,360.0,2,1,710
56,LP001195,1,1,0,1,1,170560,127280.0,7680.0,360.0,2,1,738
57,LP001197,1,1,0,1,1,269280,176000.0,10800.0,360.0,1,0,732
58,LP001198,1,1,1,1,1,646400,180000.0,14400.0,360.0,0,1,798
59,LP001199,1,1,2,0,1,268560,228720.0,11520.0,360.0,0,1,740
60,LP001205,1,1,0,1,1,200000,303680.0,9600.0,360.0,0,1,773
61,LP001206,1,1,3,1,1,242320,0.0,7920.0,360.0,0,1,719
62,LP001207,1,1,0,0,1,208720,275920.0,13200.0,180.0,1,0,436
63,LP001213,1,1,1,1,1,395600,0.0,10240.0,360.0,1,0,585
64,LP001222,0,0,0,1,1,333280,0.0,9280.0,360.0,2,0,326
65,LP001225,1,1,0,1,1,458080,367600.0,20640.0,360.0,2,0,707
66,LP001228,1,0,0,0,1,256000,180320.0,10080.0,180.0,0,0,412
67,LP001233,1,1,1,1,1,860000,0.0,24960.0,360.0,0,1,753
68,LP001238,1,1,3,0,1,568000,0.0,10000.0,60.0,0,1,778
69,LP001241,0,0,0,1,1,344000,0.0,10880.0,360.0,2,0,572
70,LP001243,1,1,0,1,1,256640,245280.0,13760.0,360.0,0,1,746
71,LP001245,1,1,2,0,1,150000,150000.0,7760.0,360.0,2,1,752
72,LP001248,1,0,0,1,1,280000,0.0,6480.0,300.0,2,1,758
73,LP001250,1,1,3,0,1,380400,0.0,7600.0,360.0,2,0,406
74,LP001253,1,1,3,1,1,421280,141920.0,14960.0,360.0,2,1,800
75,LP001255,1,0,0,1,1,300000,0.0,9040.0,480.0,0,0,719
76,LP001256,1,0,0,1,1,300000,380000.0,14080.0,360.0,0,0,740
77,LP001259,1,1,1,1,1,80000,241760.0,8800.0,360.0,0,0,736
78,LP001263,1,1,3,1,1,253360,320000.0,14400.0,300.0,2,0,501
79,LP001264,1,1,3,0,1,266640,173280.0,10400.0,360.0,2,1,385
80,LP001265,0,0,0,1,1,307680,0.0,8880.0,360.0,2,1,717
81,LP001266,1,1,1,1,1,191600,0.0,10240.0,360.0,2,1,782
82,LP001267,0,1,2,1,1,110240,150480.0,13360.0,360.0,0,0,718
83,LP001273,1,1,0,1,1,480000,180000.0,21200.0,360.0,2,0,315
84,LP001275,1,1,1,1,1,319040,0.0,4000.0,240.0,0,1,762
85,LP001279,1,0,0,1,1,189280,202480.0,10880.0,360.0,2,1,758
86,LP001280,1,1,2,0,1,266640,160000.0,7920.0,360.0,2,1,455
87,LP001282,1,1,0,1,1,200000,169440.0,8320.0,360.0,2,1,734
88,LP001289,1,0,0,1,1,685280,0.0,16800.0,360.0,0,1,791
89,LP001310,1,1,0,1,1,455600,333360.0,14000.0,360.0,2,1,729
90,LP001316,1,1,0,1,1,236640,232000.0,10480.0,360.0,2,1,746
91,LP001318,1,1,2,1,1,500000,452320.0,15040.0,180.0,2,1,776
92,LP001319,1,1,2,0,1,261840,145600.0,6480.0,360.0,0,1,706
93,LP001322,1,0,0,1,1,330640,0.0,9760.0,360.0,2,1,775
94,LP001325,1,0,0,0,1,289600,0.0,2000.0,120.0,2,1,790
95,LP001326,1,0,0,1,1,542560,0.0,10240.0,360.0,0,0,432
96,LP001327,0,1,0,1,1,198720,184160.0,10960.0,360.0,2,1,705
97,LP001333,1,1,0,1,1,158160,79760.0,4000.0,360.0,2,1,735
98,LP001334,1,1,0,0,1,335040,0.0,9200.0,180.0,2,1,714
99,LP001343,1,1,0,1,1,140720,283280.0,10480.0,360.0,2,1,791
100,LP001345,1,1,2,0,1,343040,261040.0,10640.0,180.0,0,1,771
101,LP001349,1,0,0,1,1,387440,304480.0,12080.0,360.0,2,1,754
102,LP001350,1,1,0,1,1,1092000,0.0,10240.0,360.0,0,1,743
103,LP001356,1,1,0,1,1,372160,286640.0,10240.0,360.0,2,1,767
104,LP001357,1,1,0,1,1,305280,60320.0,12800.0,360.0,0,1,718
105,LP001367,1,1,1,1,1,244160,82400.0,8000.0,360.0,0,1,770
106,LP001369,1,1,2,1,1,913360,90080.0,18000.0,360.0,0,1,724
107,LP001370,1,0,0,0,1,586640,0.0,9600.0,360.0,1,0,752
108,LP001379,1,1,2,1,1,304000,288000.0,17280.0,360.0,0,0,450
109,LP001384,1,1,3,0,1,165680,60320.0,7520.0,480.0,2,1,703
110,LP001385,1,0,0,1,1,425280,0.0,10880.0,360.0,0,1,772
111,LP001387,0,1,0,1,1,234320,186640.0,11120.0,360.0,2,1,701
112,LP001391,1,1,0,0,1,285760,329120.0,12160.0,360.0,1,0,485
113,LP001392,0,0,1,1,1,596080,0.0,10240.0,360.0,2,1,769
114,LP001398,1,0,0,1,1,404000,0.0,9440.0,360.0,2,1,798
115,LP001401,1,1,1,1,1,1166640,0.0,14800.0,180.0,1,1,731
116,LP001404,0,1,0,1,1,253360,182640.0,12320.0,360.0,2,1,717
117,LP001405,1,1,1,1,1,177120,111840.0,6800.0,360.0,0,1,471
118,LP001421,1,1,0,1,1,445440,171360.0,14000.0,360.0,1,0,749
119,LP001422,0,0,0,1,1,832640,0.0,20720.0,360.0,0,1,725
120,LP001426,1,1,0,1,1,453360,213360.0,14400.0,360.0,1,1,767
121,LP001430,0,0,0,1,1,333280,0.0,3520.0,360.0,2,1,703
122,LP001431,0,0,0,1,1,170960,718400.0,10960.0,360.0,2,1,502
123,LP001432,1,1,2,1,1,236560,0.0,6480.0,360.0,2,1,736
124,LP001439,1,1,0,0,1,344000,161120.0,15520.0,360.0,1,1,709
125,LP001443,0,0,0,1,1,295360,0.0,7440.0,360.0,1,1,302
126,LP001448,1,1,3,1,1,1904240,0.0,29600.0,360.0,1,1,731
127,LP001449,1,0,0,1,1,309200,131200.0,10240.0,360.0,1,1,708
128,LP001451,1,1,1,1,1,841040,308000.0,12800.0,180.0,0,0,523
129,LP001465,1,1,0,1,1,486400,205520.0,14560.0,360.0,1,0,401
130,LP001469,1,0,0,1,1,1613280,0.0,52000.0,480.0,0,1,558
131,LP001473,1,0,0,1,1,161120,154320.0,5920.0,360.0,0,1,757
132,LP001478,1,0,0,1,1,217440,0.0,5600.0,360.0,2,1,756
133,LP001482,1,1,0,1,1,276720,0.0,2000.0,120.0,2,1,771
134,LP001487,1,0,0,1,1,391600,0.0,8160.0,360.0,2,1,761
135,LP001488,1,1,3,1,1,320000,620000.0,23200.0,360.0,2,0,749
136,LP001489,0,1,0,1,1,366640,0.0,6720.0,360.0,1,0,747
137,LP001491,1,1,2,1,1,265280,280000.0,7040.0,360.0,0,1,774
138,LP001492,1,0,0,1,1,1199920,0.0,19360.0,360.0,2,0,437
139,LP001493,1,1,2,0,1,336000,114400.0,10320.0,360.0,1,0,729
140,LP001497,1,1,2,1,1,403360,166640.0,14800.0,360.0,1,0,760
141,LP001498,1,0,0,1,1,433360,0.0,13440.0,360.0,0,1,778
142,LP001504,1,0,0,1,1,556000,0.0,14000.0,180.0,2,1,703
143,LP001507,1,1,0,1,1,215840,162720.0,9760.0,360.0,2,1,769
144,LP001508,1,1,2,1,1,940560,0.0,14960.0,180.0,0,1,717
145,LP001514,0,1,0,1,1,186400,358880.0,8000.0,360.0,2,1,729
146,LP001516,0,1,2,1,1,1189280,0.0,5600.0,360.0,0,1,798
147,LP001518,1,1,1,1,1,123040,114000.0,2400.0,360.0,0,1,743
148,LP001519,0,0,0,1,1,800000,133280.0,18000.0,360.0,1,0,749
149,LP001520,1,1,0,1,1,388800,66400.0,10000.0,360.0,2,1,771
150,LP001528,1,0,0,1,1,502160,0.0,9440.0,360.0,1,0,356
151,LP001529,1,1,0,1,1,206160,300000.0,12160.0,360.0,1,1,771
152,LP001531,1,0,0,1,1,733280,0.0,19520.0,360.0,0,0,702
153,LP001532,1,1,2,0,1,182480,0.0,9040.0,360.0,1,0,756
154,LP001535,1,0,0,1,1,260320,0.0,4000.0,360.0,0,1,730
155,LP001536,1,1,3,1,1,3199920,0.0,48000.0,180.0,2,1,328
156,LP001541,1,1,1,1,1,480000,0.0,12800.0,360.0,1,1,419
157,LP001543,1,1,1,1,1,763040,0.0,14960.0,360.0,0,1,786
158,LP001546,1,0,0,1,1,238400,166640.0,9600.0,360.0,1,1,728
159,LP001552,1,1,0,1,1,366640,450000.0,20400.0,360.0,2,1,785
160,LP001560,1,1,0,0,1,149040,83280.0,7840.0,360.0,2,1,755
161,LP001562,1,1,0,1,1,634640,0.0,22000.0,360.0,0,0,766
162,LP001565,1,1,1,1,1,247120,102400.0,9680.0,360.0,2,0,300
163,LP001570,1,1,2,1,1,333360,115760.0,12640.0,360.0,1,1,702
164,LP001572,1,1,0,1,1,745840,0.0,6000.0,180.0,0,1,755
165,LP001574,1,1,0,1,1,296560,253280.0,14560.0,360.0,1,1,751
166,LP001577,0,1,0,1,1,366640,0.0,8960.0,360.0,1,0,764
167,LP001578,1,1,0,1,1,195120,266640.0,10320.0,360.0,1,1,736
168,LP001579,1,0,0,1,1,178960,0.0,5040.0,480.0,2,0,383
169,LP001580,1,1,2,1,1,640000,0.0,16000.0,360.0,2,1,730
170,LP001581,1,1,0,0,1,145600,141520.0,7600.0,360.0,1,1,768
171,LP001585,1,1,3,1,1,4141040,0.0,56000.0,300.0,0,1,716
172,LP001586,1,1,3,0,1,281760,0.0,6480.0,180.0,1,0,714
173,LP001594,1,1,0,1,1,456640,450000.0,14960.0,360.0,2,1,708
174,LP001603,1,1,0,0,1,347520,58880.0,6960.0,360.0,2,0,727
175,LP001606,1,1,0,1,1,279760,157120.0,9280.0,360.0,1,1,730
176,LP001608,1,1,2,1,1,163600,129520.0,8080.0,360.0,1,1,753
177,LP001610,1,1,3,1,1,441280,904000.0,39600.0,360.0,2,0,534
178,LP001616,1,1,1,1,1,300000,0.0,9280.0,360.0,2,1,725
179,LP001630,1,0,0,0,1,186640,116080.0,8160.0,480.0,0,0,319
180,LP001633,1,1,1,1,1,512000,580000.0,14400.0,360.0,0,0,405
181,LP001634,1,0,0,1,1,153280,405040.0,5360.0,360.0,1,0,522
182,LP001636,1,1,0,1,1,368000,0.0,5840.0,180.0,2,1,772
183,LP001637,1,1,1,1,1,2707680,0.0,20800.0,360.0,2,0,710
184,LP001639,0,1,0,1,1,290000,0.0,8640.0,360.0,2,1,759
185,LP001640,1,1,0,1,1,3131760,380000.0,9600.0,360.0,2,1,734
186,LP001641,1,1,1,1,1,174240,0.0,5280.0,300.0,1,0,305
187,LP001643,1,1,0,1,1,190640,171040.0,4640.0,360.0,1,1,555
188,LP001644,1,1,0,1,1,53920,423680.0,13440.0,360.0,1,1,785
189,LP001647,1,1,0,1,1,746240,0.0,15040.0,180.0,1,1,799
190,LP001653,1,0,0,0,1,390800,0.0,3840.0,360.0,1,1,711
191,LP001656,1,0,0,1,1,960000,0.0,13120.0,360.0,2,0,724
192,LP001657,1,1,0,0,1,482640,0.0,12800.0,360.0,0,0,715
193,LP001658,1,0,0,1,1,308640,0.0,6080.0,360.0,2,1,790
194,LP001664,1,0,0,1,1,335280,0.0,9600.0,360.0,1,1,709
195,LP001665,1,1,1,1,1,250000,206640.0,13600.0,360.0,2,0,730
196,LP001666,1,0,0,1,1,666640,300000.0,14960.0,360.0,1,1,794
197,LP001669,0,0,0,0,1,152560,189200.0,9600.0,360.0,0,1,774
198,LP001671,0,1,0,1,1,273280,225280.0,9040.0,360.0,2,1,532
199,LP001673,1,0,0,1,1,880000,0.0,6640.0,360.0,0,0,750
200,LP001674,1,1,1,0,1,208000,200000.0,7200.0,360.0,2,1,744
201,LP001677,1,0,2,1,1,393840,0.0,13280.0,360.0,2,1,522
202,LP001682,1,1,3,0,1,319360,0.0,10240.0,180.0,0,0,739
203,LP001688,1,1,1,0,1,280000,86640.0,10800.0,360.0,0,1,766
204,LP001691,1,1,2,0,1,313360,0.0,9920.0,360.0,2,1,732
205,LP001692,0,0,0,0,1,352640,0.0,9600.0,360.0,2,1,732
206,LP001693,0,0,0,1,1,259520,0.0,6400.0,360.0,0,1,781
207,LP001698,1,0,0,0,1,318000,202480.0,4400.0,360.0,1,1,786
208,LP001699,1,0,0,1,1,198320,0.0,4720.0,360.0,0,1,758
209,LP001702,1,0,0,1,1,273440,0.0,10160.0,360.0,2,0,787
210,LP001708,0,0,0,1,1,800000,0.0,17120.0,360.0,2,0,703
211,LP001711,1,1,3,1,1,274400,100000.0,10240.0,360.0,2,0,587
212,LP001713,1,1,1,1,1,622960,0.0,19200.0,360.0,0,1,767
213,LP001715,1,1,3,0,1,456240,0.0,10400.0,360.0,1,1,728
214,LP001716,1,1,0,1,1,253840,241680.0,10960.0,360.0,0,1,754
215,LP001720,1,1,3,0,1,308000,78640.0,8000.0,360.0,2,1,730
216,LP001722,1,1,0,1,1,12000,144000.0,10800.0,360.0,1,0,746
217,LP001726,1,1,0,1,1,298160,142000.0,10480.0,360.0,2,1,702
218,LP001732,1,1,2,1,1,400000,0.0,5760.0,360.0,2,0,476
219,LP001734,0,1,2,1,1,342640,190640.0,10160.0,360.0,2,1,428
220,LP001736,1,1,0,1,1,177680,0.0,4800.0,360.0,0,0,411
221,LP001743,1,1,2,1,1,320720,137360.0,9280.0,360.0,2,1,723
222,LP001744,1,0,0,1,1,237680,223280.0,11520.0,360.0,2,1,794
223,LP001749,1,1,0,1,1,606240,80800.0,14000.0,360.0,2,1,704
224,LP001750,1,1,0,1,1,500000,0.0,10240.0,360.0,2,1,752
225,LP001751,1,1,0,1,1,260000,0.0,13600.0,360.0,1,0,713
226,LP001754,1,1,0,0,1,378800,0.0,11040.0,360.0,0,0,725
227,LP001758,1,1,2,1,1,500000,135600.0,16800.0,360.0,2,1,768
228,LP001760,1,1,0,1,1,380640,0.0,12640.0,480.0,2,1,720
229,LP001761,1,0,0,1,1,512000,0.0,16000.0,360.0,1,1,782
230,LP001765,1,1,1,1,1,199280,164320.0,8320.0,360.0,2,1,759
231,LP001768,1,1,0,1,1,297280,0.0,3360.0,180.0,1,1,701
232,LP001770,1,0,0,0,1,255120,207840.0,9600.0,360.0,1,1,710
233,LP001776,0,0,0,1,1,666640,0.0,22400.0,360.0,2,1,758
234,LP001778,1,1,1,1,1,252400,142320.0,11200.0,360.0,2,1,777
235,LP001784,1,1,1,1,1,440000,100800.0,13600.0,360.0,1,1,749
236,LP001786,1,1,0,1,1,459680,0.0,20400.0,360.0,0,0,515
237,LP001788,0,0,0,1,1,277040,0.0,9760.0,360.0,0,1,499
238,LP001790,0,0,1,1,1,304960,0.0,8960.0,360.0,1,1,723
239,LP001792,1,1,1,1,1,265200,0.0,7680.0,360.0,2,1,775
240,LP001798,1,1,2,1,1,465520,400000.0,9600.0,360.0,1,1,751
241,LP001800,1,1,1,0,1,200800,158640.0,11200.0,180.0,0,0,770
242,LP001806,1,0,0,1,1,237200,456080.0,12400.0,60.0,0,1,753
243,LP001807,1,1,2,1,1,500000,104000.0,8640.0,360.0,1,1,727
244,LP001811,1,1,0,0,1,272480,353360.0,9840.0,360.0,2,1,787
245,LP001813,1,0,0,1,1,484000,346640.0,9600.0,180.0,0,0,734
246,LP001814,1,1,2,1,1,776240,0.0,8960.0,360.0,0,1,769
247,LP001819,1,1,1,0,1,528640,0.0,10960.0,180.0,0,1,774
248,LP001824,1,1,1,1,1,230560,147440.0,9840.0,480.0,2,1,796
249,LP001825,1,1,0,1,1,144720,149440.0,7200.0,360.0,0,1,791
250,LP001835,1,1,0,0,1,133440,311200.0,16080.0,360.0,2,0,554
251,LP001836,0,0,2,1,1,274160,0.0,11040.0,360.0,0,0,760
252,LP001841,1,0,0,0,1,206640,173360.0,8320.0,360.0,1,1,786
253,LP001843,1,1,1,0,1,212880,568080.0,22320.0,180.0,2,1,724
254,LP001844,1,0,0,1,1,1300000,0.0,15360.0,360.0,0,0,523
255,LP001846,0,0,3,1,1,246640,0.0,20400.0,360.0,1,1,749
256,LP001849,1,0,0,0,1,483600,0.0,9200.0,360.0,1,0,505
257,LP001854,1,1,3,1,1,420000,0.0,7520.0,360.0,0,0,762
258,LP001859,1,1,0,1,1,1174640,168000.0,24320.0,360.0,1,0,713
259,LP001864,1,1,3,0,1,394480,0.0,10240.0,360.0,2,0,357
260,LP001865,1,1,1,1,1,486640,340000.0,26400.0,360.0,0,1,319
261,LP001868,1,0,0,1,1,164800,176720.0,10720.0,360.0,2,1,780
262,LP001870,0,0,1,1,1,278480,0.0,12400.0,36.0,2,0,786
263,LP001871,0,0,0,1,1,576000,0.0,9600.0,360.0,1,1,736
264,LP001872,1,0,0,1,1,413280,0.0,10240.0,360.0,2,1,732
265,LP001875,1,0,0,1,1,327600,275760.0,12080.0,360.0,1,1,788
266,LP001877,1,1,2,1,1,376640,110960.0,12000.0,360.0,2,1,796
267,LP001882,1,1,3,1,1,346640,144880.0,12800.0,360.0,0,1,518
268,LP001883,0,0,0,1,1,273440,0.0,10800.0,360.0,1,0,715
269,LP001884,0,0,1,1,1,230080,124800.0,7200.0,360.0,0,1,791
270,LP001888,0,0,0,1,1,258960,0.0,2400.0,360.0,0,1,727
271,LP001891,1,1,0,1,1,891680,0.0,10880.0,360.0,0,1,769
272,LP001892,1,0,0,1,1,226640,148560.0,10080.0,360.0,1,1,735
273,LP001894,1,1,0,1,1,209600,177840.0,12000.0,360.0,2,1,796
274,LP001896,1,1,2,1,1,312000,0.0,7200.0,360.0,2,1,736
275,LP001900,1,1,1,1,1,220000,147360.0,9200.0,360.0,2,1,714
276,LP001903,1,1,0,1,1,319440,261920.0,16560.0,360.0,2,1,735
277,LP001904,1,1,0,1,1,248240,104000.0,6400.0,360.0,0,1,718
278,LP001907,1,1,0,1,1,1166640,0.0,34880.0,360.0,2,1,735
279,LP001908,0,1,0,0,1,328000,0.0,9920.0,360.0,1,1,533
280,LP001910,1,0,1,0,1,324240,194080.0,12640.0,360.0,0,0,430
281,LP001914,1,1,0,1,1,314160,64000.0,8960.0,360.0,2,1,790
282,LP001915,1,1,2,1,1,184080,78863.999024,6240.0,180.0,0,1,797
283,LP001917,0,0,0,1,1,144880,133280.0,4320.0,360.0,0,1,729
284,LP001922,1,1,0,1,1,1653360,0.0,10240.0,360.0,1,0,788
285,LP001924,1,0,0,1,1,252640,244240.0,7120.0,360.0,1,1,718
286,LP001925,0,0,0,1,1,208000,137360.0,7920.0,300.0,2,0,724
287,LP001926,1,1,0,1,1,296320,160000.0,9600.0,360.0,1,1,727
288,LP001931,0,0,0,1,1,329920,0.0,9200.0,360.0,2,1,735
289,LP001935,1,0,0,1,1,760640,0.0,14960.0,360.0,1,1,706
290,LP001936,1,1,0,1,1,246000,193280.0,11120.0,360.0,1,1,757
291,LP001938,1,1,2,1,1,352000,0.0,10160.0,360.0,2,0,451
292,LP001940,1,1,2,1,1,252240,124800.0,10720.0,360.0,0,1,799
293,LP001945,0,0,0,1,1,433360,0.0,11440.0,480.0,0,0,309
294,LP001947,1,1,0,1,1,190640,266720.0,13760.0,360.0,2,1,726
295,LP001949,1,1,3,1,1,353280,100000.0,8800.0,360.0,0,1,763
296,LP001953,1,1,1,1,1,550000,0.0,16000.0,360.0,2,1,757
297,LP001954,0,1,1,1,1,373280,0.0,10800.0,360.0,0,1,781
298,LP001955,0,0,0,1,1,400000,203280.0,12080.0,480.0,1,0,785
299,LP001963,1,1,1,1,1,161120,234000.0,9040.0,360.0,0,0,788
300,LP001964,1,1,0,0,1,144000,234720.0,7440.0,360.0,0,0,536
301,LP001972,1,1,0,0,1,230000,140000.0,8400.0,360.0,2,1,700
302,LP001974,0,0,0,1,1,400000,0.0,10560.0,360.0,1,1,719
303,LP001977,1,1,1,1,1,130000,144240.0,7680.0,360.0,0,1,780
304,LP001978,1,0,0,1,1,320000,200000.0,11200.0,360.0,1,1,709
305,LP001990,1,0,0,0,1,160000,0.0,10240.0,360.0,0,0,743
306,LP001993,0,0,0,1,1,300960,133280.0,10800.0,360.0,1,1,760
307,LP001994,0,0,0,1,1,192000,149040.0,8320.0,360.0,0,0,437
308,LP001996,1,0,0,1,1,1618640,0.0,38400.0,360.0,1,0,800
309,LP001998,1,1,2,0,1,613360,0.0,14800.0,360.0,1,1,430
310,LP002002,0,0,0,1,1,233360,0.0,6720.0,360.0,2,1,712
311,LP002004,1,0,0,0,1,234160,192400.0,8880.0,360.0,2,1,729
312,LP002006,0,0,0,1,1,200560,0.0,4480.0,360.0,1,1,730
313,LP002008,1,1,2,1,1,459680,0.0,11520.0,84.0,1,1,344
314,LP002024,1,1,0,1,1,197840,147440.0,12720.0,360.0,1,0,751
315,LP002031,1,1,1,0,1,271920,131200.0,8880.0,180.0,0,1,762
316,LP002035,1,1,2,1,1,297360,0.0,9600.0,360.0,2,1,737
317,LP002036,1,1,0,1,1,164640,170720.0,7040.0,360.0,0,1,482
318,LP002043,0,0,1,1,1,283280,0.0,8960.0,360.0,2,1,600
319,LP002050,1,1,1,1,1,800000,0.0,12400.0,360.0,1,0,776
320,LP002051,1,1,0,1,1,192000,173360.0,9200.0,360.0,2,1,793
321,LP002053,1,1,3,1,1,347360,15120.0,9920.0,360.0,2,1,750
322,LP002054,1,1,2,0,1,288080,127200.0,10240.0,360.0,1,1,753
323,LP002055,0,0,0,1,1,253280,238800.0,10560.0,360.0,1,1,468
324,LP002065,1,1,3,1,1,1200000,0.0,24000.0,360.0,1,1,735
325,LP002067,1,1,1,1,1,693280,398640.0,30080.0,360.0,1,0,357
326,LP002068,1,0,0,1,1,393360,0.0,10400.0,360.0,1,1,588
327,LP002082,1,1,0,1,1,465440,172800.0,14720.0,360.0,2,1,799
328,LP002086,0,1,0,1,1,346640,196080.0,8800.0,360.0,0,0,770
329,LP002087,0,0,0,1,1,200000,0.0,5360.0,360.0,0,1,726
330,LP002097,1,0,1,1,1,350720,143440.0,9360.0,360.0,0,1,763
331,LP002098,1,0,0,1,1,234800,0.0,7840.0,360.0,2,1,759
332,LP002100,1,0,0,1,1,226640,0.0,5680.0,360.0,0,1,745
333,LP002101,1,1,0,1,1,5066960,0.0,39200.0,180.0,0,1,718
334,LP002103,1,1,1,1,1,786640,146640.0,14560.0,180.0,0,1,787
335,LP002106,1,1,0,1,1,440240,359200.0,5600.0,360.0,2,1,782
336,LP002110,1,1,1,1,1,420000,55040.0,12800.0,360.0,1,1,741
337,LP002112,1,1,2,1,1,200000,368000.0,14080.0,360.0,1,1,703
338,LP002113,0,0,3,0,1,146400,0.0,10240.0,360.0,0,0,474
339,LP002114,0,0,0,1,1,332800,0.0,5680.0,360.0,2,1,762
340,LP002115,1,1,3,0,1,211760,126960.0,13840.0,360.0,1,0,758
341,LP002116,0,0,0,1,1,190240,0.0,3680.0,360.0,1,0,796
342,LP002119,1,1,1,0,1,364320,98320.0,12640.0,360.0,0,1,799
343,LP002126,1,1,3,0,1,253840,0.0,5920.0,360.0,2,1,751
344,LP002128,1,1,2,1,1,206640,186400.0,10000.0,360.0,1,1,773
345,LP002129,1,1,0,1,1,199920,196640.0,12800.0,360.0,2,1,795
346,LP002130,1,1,0,0,1,281840,258400.0,12160.0,360.0,1,0,594
347,LP002131,1,1,2,0,1,246640,173440.0,10080.0,360.0,0,1,765
